direction,target_id,eligible,valid_trial_fraction,mean_matched_edges,blind_mean_heat,real_mean_heat,shuffled_mean_heat,delta_real_blind,delta_real_shuffled,blind_unique_heat_per_edge,real_unique_heat_per_edge,shuffled_unique_heat_per_edge,blind_related_fraction,real_related_fraction,shuffled_related_fraction,semantic_delta_real_blind,semantic_delta_real_shuffled
origin_to_transition,chunk:da11a50d9ac147f0f42efa40,1,1.0,7.0,0.48807906828722597,0.9446261620124349,0.4869616708105427,0.4565470937252089,0.4576644912018922,0.39397835282443816,0.49273716843154747,0.3905136058683727,0.12289348171701113,0.0,0.11900630914826499,-0.12289348171701113,-0.11900630914826499
origin_to_transition,chunk:ffceb9939c29300973d8d7d8,1,1.0,7.0,0.4034152414128214,0.8614199564818933,0.40570586569108347,0.45800471506907187,0.4557140907908098,0.32950792563050296,0.4412389973393763,0.3297143553209147,0.23694029850746268,0.0,0.24108761329305137,-0.23694029850746268,-0.24108761329305137
transition_to_origin,chunk:0066126ec8be360207250c0e,1,1.0,7.0,0.33380441697435026,0.7115378789438208,0.33181183579286716,0.37773346196947055,0.37972604315095365,0.2752864529914166,0.39276822037210485,0.27266874538698027,0.08585409252669039,0.00975975975975976,0.08759553203997648,-0.07609433276693063,-0.07783577228021672
transition_to_origin,chunk:00d6a0ab0e74b4a9f5dd1bee,1,1.0,7.0,0.6378355919943035,1.1198885957834495,0.6386816960297975,0.48205300378914595,0.48120689975365194,0.5064530671251565,0.6137527799496036,0.5055954090079208,0.13281374900079937,,0.1297478329393223,,
transition_to_origin,chunk:046d440341933f706d1b8439,1,1.0,7.0,0.418050475358226,0.8809390081285814,0.41811920364086747,0.4628885327703554,0.4628198044877139,0.34059666274860456,0.4732618911696304,0.33985587641939957,0.17261189044756178,0.03333333333333333,0.17636666666666667,-0.13927855711422846,-0.14303333333333335
transition_to_origin,chunk:10d0a60b8e6386542f7f2e0f,1,1.0,7.0,0.4085088029655226,0.743153797092406,0.40674379109225034,0.3346449941268834,0.3364100060001557,0.3441031176755566,0.504205910221001,0.3425516210090741,0.25131086142322095,0.3372093023255814,0.2550185873605948,0.08589844090236043,0.08219071496498659
transition_to_origin,chunk:1509a86b23339a5bdecbd4ef,1,1.0,7.0,0.2857183874506282,0.6540668371680568,0.28544771494591337,0.3683484497174286,0.36861912222214344,0.24590478367874166,0.35253276210863776,0.24340386327246205,0.3301759087473373,0.5111561318206375,0.32154847550531,0.18098022307330014,0.18960765631532744
transition_to_origin,chunk:15530bec75bd4255e14a2c87,1,1.0,7.0,0.425936963396107,0.9222010562975175,0.42798055762978626,0.4962640929014105,0.4942204986677312,0.3509171872892224,0.49590663263474755,0.3489905971793605,0.026374018558172733,0.0,0.027063236870310824,-0.026374018558172733,-0.027063236870310824
transition_to_origin,chunk:1f6827b9769e9bd273517c15,1,1.0,7.0,0.43691984164556064,0.8140858701883835,0.4377895357916667,0.3771660285428229,0.37629633439671684,0.367899686765368,0.5329363383592969,0.3659652832447657,0.28233038348082595,0.0,0.28454277286135693,-0.28233038348082595,-0.28454277286135693
transition_to_origin,chunk:200202c266d77d741c57e275,1,1.0,7.0,0.5571271624469138,1.0679837770549394,0.5567167313374103,0.5108566146080256,0.5112670457175291,0.44949168895458363,0.5793126352847524,0.447910111087727,0.1247016706443914,,0.11607142857142858,,
transition_to_origin,chunk:205b7623e89a9ec70a13a9d3,1,1.0,7.0,0.24921725863207408,0.6199618690958164,0.25066035087748767,0.3707446104637423,0.36930151821832874,0.21343858389664352,0.35553480284967476,0.21297513298879509,0.6168563839878581,0.9510377711293941,0.6171365499842321,0.334181387141536,0.3339012211451621
transition_to_origin,chunk:218189649ddef45adab80203,1,1.0,7.0,0.18391146911935347,0.41783328360651767,0.18288333046157024,0.2339218144871642,0.23494995314494743,0.16068540172603588,0.2699546382546547,0.15912430458414828,0.06439645625692138,0.0231042654028436,0.0646570796460177,-0.04129219085407777,-0.0415528142431741
transition_to_origin,chunk:24e65a5f2a8e061ad4c91961,1,1.0,7.0,0.3471468612655508,0.7906882361083988,0.35089403795122703,0.443541374842848,0.43979419815717175,0.28663537416577006,0.4086154561393881,0.2880359875001025,0.033027687882056816,0.0,0.033027687882056816,-0.033027687882056816,-0.033027687882056816
transition_to_origin,chunk:2e50cad7e426c2781b474e3b,1,1.0,7.0,0.21764096634916907,0.5560661787627439,0.21746256333202282,0.3384252124135748,0.33860361543072104,0.18354184698716147,0.3172255044313788,0.18329756764068167,0.33448979591836736,0.05472636815920398,0.3279138321995465,-0.2797634277591634,-0.27318746404034255
transition_to_origin,chunk:313954720059f5b11152616e,1,1.0,7.0,0.4929978464862427,1.0699632385780171,0.49396833821722796,0.5769653920917744,0.5759949003607892,0.40292900064721365,0.558394658017912,0.4020492522603515,0.037075575027382256,0.0,0.03725274725274725,-0.037075575027382256,-0.03725274725274725
transition_to_origin,chunk:34ff958b4487e21ea834c82f,1,1.0,7.0,0.6503273775450109,1.1031241209116842,0.6487025761332148,0.4527967433666733,0.4544215447784694,0.5169203106376551,0.606477149629535,0.5138784809883651,0.07624113475177305,,0.07251184834123223,,
transition_to_origin,chunk:4079378cec36ca9b89a76f08,1,1.0,7.0,0.19688728469898262,0.5583867456184287,0.19664137734894763,0.36149946091944607,0.3617453682694811,0.1741348845954439,0.306682794281152,0.1737651449723919,0.049706997587038955,0.0,0.049758454106280194,-0.049706997587038955,-0.049758454106280194
transition_to_origin,chunk:476d9cb14b9139a6f75ebb58,1,1.0,7.0,0.16030473700358872,0.6062965383814368,0.15912802961868455,0.4459918013778481,0.44716850876275227,0.13525705528143991,0.30339023094760154,0.1343591763141717,0.24306595075387785,0.37572254335260113,0.2384233647901074,0.13265659259872328,0.13729917856249374
transition_to_origin,chunk:4a3adeb0e168d3e2c9af147d,1,1.0,7.0,0.37616658867051855,0.8234705106493715,0.37726122440883,0.44730392197885294,0.4462092862405415,0.3197178721899969,0.448002977045505,0.3189207581477245,0.2258852258852259,0.0,0.22341343191620455,-0.2258852258852259,-0.22341343191620455
transition_to_origin,chunk:4dadb75dd249f646267bbb6c,1,1.0,7.0,0.2593364488050531,0.6277433848308438,0.25979224020593283,0.3684069360257907,0.36795114462491096,0.2177052158160543,0.36291190940312396,0.21750349592776055,0.528857268501068,0.9217171717171717,0.5304749256940492,0.39285990321610376,0.3912422460231225
transition_to_origin,chunk:59de2f26accc6714c2cd2399,1,1.0,7.0,0.6302561274061033,1.1208373460555436,0.6311538992015163,0.4905812186494404,0.4896834468540273,0.5029423338358646,0.6089929474276221,0.5010905445867861,0.11150793650793651,,0.1108433734939759,,
transition_to_origin,chunk:5ddc3c13de81f8329b499484,1,1.0,7.0,0.3140165008187652,0.8587320893435685,0.31698326829708634,0.5447155885248033,0.5417488210464821,0.2631040644738951,0.44202542142259454,0.263706574442397,0.06578171091445428,0.0,0.06090029761904762,-0.06578171091445428,-0.06090029761904762
